fico,dt_first_pi,flag_fthb,dt_matr,cd_msa,mi_pct,cnt_units,occpy_sts,cltv,dti,orig_upb,ltv,orig_int_rt,channel,ppmt_pnlty,amrtzn_type,st,prop_type,zipcode,id_loan,loan_purpose,orig_loan_term,cnt_borr,seller_name,servicer_name,flag_sc,id_loan_preharp,ind_afdl,ind_harp,cd_ppty_val_type,flag_int_only
781,202003,N,205002,11180,000,1,I,75,38,114000,75,5,R,N,FRM,IA,SF,50000,F20Q10000112,C,360,02,Other sellers,Other servicers,,,9,,2,N
754,202003,N,205002,41180,000,1,P,80,25,252000,80,3.75,R,N,FRM,IL,SF,62200,F20Q10000113,N,360,01,Other sellers,Other servicers,,,9,,2,N
796,202003,N,203502,,000,1,P,40,48,250000,40,2.875,R,N,FRM,CO,SF,81200,F20Q10000114,C,180,02,Other sellers,PHH MORTGAGE CORPORATION,,,9,,2,N
764,202004,N,204003,39100,25,1,P,95,41,304000,95,3.625,R,N,FRM,NY,SF,12500,F20Q10000115,P,240,02,Other sellers,Other servicers,,,9,,2,N
788,202003,N,203502,,000,1,S,69,29,510000,69,2.875,R,N,FRM,WI,SF,54500,F20Q10000116,C,180,02,Other sellers,Other servicers,,,9,,2,N
775,202004,Y,205003,40140,000,1,P,72,49,500000,72,4,R,N,FRM,CA,CO,92800,F20Q10000117,P,360,01,Other sellers,Other servicers,,,9,,2,N
751,202003,Y,204002,38860,000,1,P,80,35,272000,80,3.75,R,N,FRM,ME,SF,04000,F20Q10000118,P,240,02,Other sellers,Other servicers,,,9,,1,N
655,202004,N,204003,,000,1,P,72,32,102000,72,4.75,R,N,FRM,OK,SF,74800,F20Q10000119,N,240,02,Other sellers,Other servicers,,,9,,2,N
756,202003,N,205002,21300,000,1,P,79,38,110000,79,3.75,R,N,FRM,NY,SF,14800,F20Q10000120,C,360,01,Other sellers,Other servicers,,,9,,2,N
802,202003,N,203502,,000,1,S,60,28,225000,60,3.25,R,N,FRM,NH,SF,03200,F20Q10000121,P,180,02,Other sellers,PHH MORTGAGE CORPORATION,,,9,,2,N
